Session ID,Timestamp,Point Number,Relative Time (s),Speed (km/h)
1,20250512_182956,1,0.00,23.8
1,20250512_182956,2,1.54,46.1
1,20250512_182956,3,7.30,34.6
1,20250512_182956,4,8.74,35.5
1,20250512_182956,5,10.05,44.5
1,20250512_182956,6,11.33,23.7
1,20250512_182956,7,12.59,25.4
1,20250512_182956,8,13.83,48.8
1,20250512_182956,9,15.06,44.7
1,20250512_182956,10,16.40,50.1
1,20250512_182956,11,17.65,38.1
1,20250512_182956,12,18.83,56.1
1,20250512_182956,13,19.97,30.5
1,20250512_182956,14,21.08,57.2

Statistic,Value
Total Points,14
Average Speed (km/h),39.9
Maximum Speed (km/h),57.2
Minimum Speed (km/h),23.7
