Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250524_104643,1,0.00,40.6
1,20250524_104643,2,2.65,40.0
1,20250524_104643,3,4.04,35.7
1,20250524_104643,4,5.47,42.1
1,20250524_104643,5,6.87,46.6
1,20250524_104643,6,8.35,36.8
1,20250524_104643,7,9.86,38.5
1,20250524_104643,8,11.25,51.2
1,20250524_104643,9,12.81,38.7
1,20250524_104643,10,14.25,37.8
1,20250524_104643,11,15.82,34.5
1,20250524_104643,12,17.33,37.0
1,20250524_104643,13,18.79,42.9
1,20250524_104643,14,20.31,43.9
1,20250524_104643,15,21.80,36.5
1,20250524_104643,16,23.28,44.4
1,20250524_104643,17,24.72,37.8
1,20250524_104643,18,26.27,40.5
1,20250524_104643,19,27.76,42.5
1,20250524_104643,20,29.30,38.0
1,20250524_104643,21,30.76,39.1
1,20250524_104643,22,32.22,35.6
1,20250524_104643,23,33.51,42.9
1,20250524_104643,24,34.83,35.0
1,20250524_104643,25,36.14,34.1
1,20250524_104643,26,37.48,50.1

Statistic,Value
Total Points,26
Average Speed (km/h),40.1
Maximum Speed (km/h),51.2
Minimum Speed (km/h),34.1
