Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250522_134628,1,0.00,47.3
1,20250522_134628,2,1.46,56.1
1,20250522_134628,3,2.96,48.8
1,20250522_134628,4,4.42,56.5
1,20250522_134628,5,5.98,50.4
1,20250522_134628,6,7.48,50.5
1,20250522_134628,7,8.98,51.3
1,20250522_134628,8,10.49,65.0
1,20250522_134628,9,12.01,51.5
1,20250522_134628,10,13.43,55.1
1,20250522_134628,11,14.76,54.7
1,20250522_134628,12,16.03,62.8
1,20250522_134628,13,17.29,65.0
1,20250522_134628,14,18.72,62.5
1,20250522_134628,15,21.55,34.8
1,20250522_134628,16,22.85,57.0
1,20250522_134628,17,24.19,52.1
1,20250522_134628,18,25.58,54.3
1,20250522_134628,19,28.56,37.8
1,20250522_134628,20,29.95,67.3
1,20250522_134628,21,31.51,61.0
1,20250522_134628,22,32.98,49.2
1,20250522_134628,23,34.47,67.0
1,20250522_134628,24,36.02,47.7
1,20250522_134628,25,37.47,44.1
1,20250522_134628,26,38.91,57.3
1,20250522_134628,27,40.48,57.2

Statistic,Value
Total Points,27
Average Speed (km/h),54.2
Maximum Speed (km/h),67.3
Minimum Speed (km/h),34.8
