Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250521_222538,1,0.00,49.7
20250521_222538,2,0.45,85.0
20250521_222538,3,1.58,49.5
20250521_222538,4,2.02,99.1
20250521_222538,5,2.97,49.6
20250521_222538,6,3.40,97.8
20250521_222538,7,4.49,50.0
20250521_222538,8,4.89,79.6
20250521_222538,9,5.97,42.1
20250521_222538,10,6.37,97.2
20250521_222538,11,7.46,49.1
20250521_222538,12,8.94,50.8
20250521_222538,13,9.36,103.3
20250521_222538,14,10.48,52.0
20250521_222538,15,10.88,116.3
20250521_222538,16,11.91,50.1
20250521_222538,17,13.43,51.0
20250521_222538,18,13.81,107.3
20250521_222538,19,14.96,47.1

Statistic,Value
Record Mode,ROI
Total Points,19
Average Speed (km/h),69.8
Maximum Speed (km/h),116.3
Minimum Speed (km/h),42.1
