Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250522_143850,1,0.00,39.3
1,20250522_143850,2,1.34,53.2
1,20250522_143850,3,2.84,26.4
1,20250522_143850,4,4.20,54.3
1,20250522_143850,5,5.67,36.6
1,20250522_143850,6,7.12,45.7
1,20250522_143850,7,8.65,36.1
1,20250522_143850,8,10.09,57.6
1,20250522_143850,9,11.64,51.0
1,20250522_143850,10,13.04,65.6
1,20250522_143850,11,14.62,36.1
1,20250522_143850,12,16.11,46.7
1,20250522_143850,13,17.63,40.4
1,20250522_143850,14,19.01,59.4
1,20250522_143850,15,20.61,34.5
1,20250522_143850,16,22.01,63.6
1,20250522_143850,17,25.07,71.6
1,20250522_143850,18,26.80,8.5
1,20250522_143850,19,28.04,48.1
1,20250522_143850,20,29.60,26.2
1,20250522_143850,21,31.02,55.5
1,20250522_143850,22,34.05,67.8
1,20250522_143850,23,35.54,36.0
1,20250522_143850,24,36.80,57.4
1,20250522_143850,25,38.17,32.6
1,20250522_143850,26,39.46,54.0

Statistic,Value
Total Points,26
Average Speed (km/h),46.3
Maximum Speed (km/h),71.6
Minimum Speed (km/h),8.5
