Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_095902,1,0.00,42.7
1,20250523_095902,2,3.00,43.5
1,20250523_095902,3,4.39,44.7
1,20250523_095902,4,5.94,56.1
1,20250523_095902,5,7.46,53.6
1,20250523_095902,6,10.39,38.5
1,20250523_095902,7,11.98,46.0
1,20250523_095902,8,16.07,31.6
1,20250523_095902,9,18.67,44.8
1,20250523_095902,10,20.17,32.0
1,20250523_095902,11,22.77,48.7
1,20250523_095902,12,24.27,54.4
1,20250523_095902,13,25.68,50.7

Statistic,Value
Total Points,13
Average Speed (km/h),45.2
Maximum Speed (km/h),56.1
Minimum Speed (km/h),31.6
