Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250515_163510,1,0.00,117.2

Statistic,Value
Total Points,1
Average Speed (km/h),117.2
Maximum Speed (km/h),117.2
Minimum Speed (km/h),117.2
