Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250512_161658,1,0.00,5.2
20250512_161658,2,16.97,22.9
20250512_161658,3,20.27,33.4
20250512_161658,4,22.29,41.8
20250512_161658,5,23.40,32.8
20250512_161658,6,28.65,40.2
20250512_161658,7,29.79,32.9
20250512_161658,8,30.95,31.0
20250512_161658,9,31.40,3.2
20250512_161658,10,31.71,7.8
20250512_161658,11,32.00,11.7
20250512_161658,12,36.89,59.2
20250512_161658,13,37.04,39.1
20250512_161658,14,37.22,28.5
20250512_161658,15,37.37,4.6
20250512_161658,16,37.66,52.6
20250512_161658,17,42.91,22.4
20250512_161658,18,49.26,32.5
20250512_161658,19,51.40,39.9
20250512_161658,20,53.33,37.5
20250512_161658,21,55.86,19.7
20250512_161658,22,58.16,44.0

Statistic,Value
Total Points,22
Average Speed (km/h),29.2
Maximum Speed (km/h),59.2
Minimum Speed (km/h),3.2
