Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250522_102127,1,0.00,66.3
1,20250522_102127,2,1.35,44.3
1,20250522_102127,3,4.34,49.1
1,20250522_102127,4,5.82,50.2
1,20250522_102127,5,7.31,40.3
1,20250522_102127,6,8.84,79.5
1,20250522_102127,7,10.33,39.2
1,20250522_102127,8,11.76,72.3
1,20250522_102127,9,13.09,44.0
1,20250522_102127,10,14.41,46.2
1,20250522_102127,11,15.69,41.8
1,20250522_102127,12,17.12,54.8
1,20250522_102127,13,18.44,43.6
1,20250522_102127,14,19.77,59.9
1,20250522_102127,15,21.10,41.2
1,20250522_102127,16,23.88,40.6
1,20250522_102127,17,25.30,46.1
1,20250522_102127,18,26.75,47.0
1,20250522_102127,19,28.23,43.5
1,20250522_102127,20,29.67,49.9
1,20250522_102127,21,31.26,46.0
1,20250522_102127,22,32.73,50.9
1,20250522_102127,23,34.20,69.3
1,20250522_102127,24,35.74,36.2
1,20250522_102127,25,37.23,50.7
1,20250522_102127,26,38.74,55.3

Statistic,Value
Total Points,26
Average Speed (km/h),50.3
Maximum Speed (km/h),79.5
Minimum Speed (km/h),36.2
