Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250524_094829,1,0.00,51.9
1,20250524_094829,2,1.50,41.4
1,20250524_094829,3,2.95,41.6
1,20250524_094829,4,4.44,38.6
1,20250524_094829,5,5.94,39.4
1,20250524_094829,6,7.38,44.8
1,20250524_094829,7,10.33,28.7
1,20250524_094829,8,11.85,39.0
1,20250524_094829,9,14.85,44.4
1,20250524_094829,10,16.37,40.0
1,20250524_094829,11,17.87,58.3
1,20250524_094829,12,20.90,46.4
1,20250524_094829,13,22.42,41.8
1,20250524_094829,14,25.43,47.6
1,20250524_094829,15,26.93,42.7
1,20250524_094829,16,28.44,33.1
1,20250524_094829,17,33.83,36.3

Statistic,Value
Total Points,17
Average Speed (km/h),42.1
Maximum Speed (km/h),58.3
Minimum Speed (km/h),28.7
