Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250524_141709,1,0.00,60.2
1,20250524_141709,2,1.48,59.3
1,20250524_141709,3,2.93,63.7
1,20250524_141709,4,4.46,62.3
1,20250524_141709,5,5.97,54.5
1,20250524_141709,6,7.46,56.4
1,20250524_141709,7,8.93,59.2
1,20250524_141709,8,10.37,50.9
1,20250524_141709,9,11.75,61.9
1,20250524_141709,10,13.08,68.3
1,20250524_141709,11,14.48,65.1
1,20250524_141709,12,15.81,51.8
1,20250524_141709,13,17.15,56.4
1,20250524_141709,14,18.53,64.3
1,20250524_141709,15,19.96,52.0
1,20250524_141709,16,21.36,59.4
1,20250524_141709,17,22.81,58.6
1,20250524_141709,18,24.21,55.1
1,20250524_141709,19,25.76,60.6
1,20250524_141709,20,27.23,49.3
1,20250524_141709,21,28.67,58.9
1,20250524_141709,22,30.25,60.8
1,20250524_141709,23,31.70,63.5
1,20250524_141709,24,33.27,52.1
1,20250524_141709,25,34.74,63.0
1,20250524_141709,26,36.19,57.6
1,20250524_141709,27,37.70,59.9
1,20250524_141709,28,39.23,58.6

Statistic,Value
Total Points,28
Average Speed (km/h),58.7
Maximum Speed (km/h),68.3
Minimum Speed (km/h),49.3
