Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_095710,1,0.00,41.4
1,20250523_095710,2,2.95,32.7
1,20250523_095710,3,4.24,36.6
1,20250523_095710,4,5.54,38.3
1,20250523_095710,5,6.92,43.7
1,20250523_095710,6,13.76,40.0
1,20250523_095710,7,15.30,19.0
1,20250523_095710,8,16.67,30.1
1,20250523_095710,9,21.09,33.7
1,20250523_095710,10,24.09,40.4
1,20250523_095710,11,25.56,40.7
1,20250523_095710,12,28.60,40.1
1,20250523_095710,13,33.08,39.8
1,20250523_095710,14,34.58,43.1
1,20250523_095710,15,36.04,43.6

Statistic,Value
Total Points,15
Average Speed (km/h),37.5
Maximum Speed (km/h),43.7
Minimum Speed (km/h),19.0
