Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250521_134948,1,0.00,13.1
20250521_134948,2,0.02,31.5
20250521_134948,3,0.03,27.4
20250521_134948,4,0.06,47.8
20250521_134948,5,0.08,69.8
20250521_134948,6,0.11,81.7
20250521_134948,7,0.13,82.4
20250521_134948,8,0.16,67.8
20250521_134948,9,0.18,75.3
20250521_134948,10,0.20,81.5
20250521_134948,11,0.23,94.6
20250521_134948,12,0.25,72.8
20250521_134948,13,0.27,65.9
20250521_134948,14,0.30,48.1

Statistic,Value
Total Points,14
Average Speed (km/h),61.4
Maximum Speed (km/h),94.6
Minimum Speed (km/h),13.1
