Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250521_152236,1,0.00,25.4
20250521_152236,2,0.02,17.9
20250521_152236,3,1.40,23.2
20250521_152236,4,1.42,27.7
20250521_152236,5,2.65,22.5
20250521_152236,6,2.67,16.0
20250521_152236,7,4.12,31.1
20250521_152236,8,4.14,22.2
20250521_152236,9,5.51,22.4
20250521_152236,10,5.52,15.9
20250521_152236,11,5.54,22.6
20250521_152236,12,8.16,16.7
20250521_152236,13,9.66,20.8

Statistic,Value
Total Points,13
Average Speed (km/h),21.9
Maximum Speed (km/h),31.1
Minimum Speed (km/h),15.9
