Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_100104,1,0.00,36.6
1,20250523_100104,2,4.51,29.3
1,20250523_100104,3,6.06,43.4
1,20250523_100104,4,7.52,46.2
1,20250523_100104,5,9.06,44.5
1,20250523_100104,6,10.45,45.0
1,20250523_100104,7,12.00,58.7
1,20250523_100104,8,13.51,54.2
1,20250523_100104,9,16.46,38.0
1,20250523_100104,10,18.04,46.0
1,20250523_100104,11,19.42,45.4
1,20250523_100104,12,22.13,32.5
1,20250523_100104,13,23.01,30.4
1,20250523_100104,14,24.73,46.5
1,20250523_100104,15,26.23,32.0
1,20250523_100104,16,27.48,39.7
1,20250523_100104,17,28.84,47.0
1,20250523_100104,18,30.33,52.9
1,20250523_100104,19,31.74,54.9
1,20250523_100104,20,34.67,43.4
1,20250523_100104,21,37.62,50.5

Statistic,Value
Total Points,21
Average Speed (km/h),43.7
Maximum Speed (km/h),58.7
Minimum Speed (km/h),29.3
