Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250512_161849,1,0.00,25.3
20250512_161849,2,1.27,17.9
20250512_161849,3,4.22,25.5
20250512_161849,4,8.21,24.6
20250512_161849,5,10.29,38.7
20250512_161849,6,11.23,35.4
20250512_161849,7,13.04,39.5
20250512_161849,8,14.83,44.8
20250512_161849,9,17.50,38.1
20250512_161849,10,19.31,43.1
20250512_161849,11,30.42,22.5
20250512_161849,12,31.73,26.1
20250512_161849,13,33.15,25.4
20250512_161849,14,34.86,26.6
20250512_161849,15,36.34,30.8
20250512_161849,16,37.80,43.3
20250512_161849,17,39.22,31.5
20250512_161849,18,40.64,25.2
20250512_161849,19,42.02,33.5
20250512_161849,20,43.45,35.7
20250512_161849,21,46.15,32.0
20250512_161849,22,47.55,38.5
20250512_161849,23,48.79,23.9
20250512_161849,24,50.04,27.4
20250512_161849,25,51.27,40.2
20250512_161849,26,52.65,31.0
20250512_161849,27,53.97,23.9

Statistic,Value
Total Points,27
Average Speed (km/h),31.5
Maximum Speed (km/h),44.8
Minimum Speed (km/h),17.9
