Session ID,Timestamp,Point Number,Relative Time (s),Speed (km/h)
1,20250512_184444,1,0.00,17.6
1,20250512_184444,2,1.27,18.1
1,20250512_184444,3,2.89,31.4
1,20250512_184444,4,4.71,16.9
1,20250512_184444,5,6.42,21.7
1,20250512_184444,6,8.30,15.4
1,20250512_184444,7,9.92,26.7
1,20250512_184444,8,11.63,17.2
1,20250512_184444,9,12.67,8.2
1,20250512_184444,10,13.25,27.8
1,20250512_184444,11,15.05,16.8
1,20250512_184444,12,16.21,8.4
1,20250512_184444,13,16.77,24.8
1,20250512_184444,14,18.52,17.4

Statistic,Value
Total Points,14
Average Speed (km/h),19.2
Maximum Speed (km/h),31.4
Minimum Speed (km/h),8.2
