Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250521_152523,1,0.00,40.2
20250521_152523,2,0.01,42.0
20250521_152523,3,0.02,42.6
20250521_152523,4,1.57,49.5
20250521_152523,5,1.58,49.6
20250521_152523,6,2.94,43.0
20250521_152523,7,2.95,44.5
20250521_152523,8,2.96,45.7
20250521_152523,9,4.44,38.5
20250521_152523,10,4.45,39.4
20250521_152523,11,5.91,42.6
20250521_152523,12,5.92,44.3
20250521_152523,13,7.38,66.6
20250521_152523,14,8.91,50.7
20250521_152523,15,10.43,58.6
20250521_152523,16,11.87,52.9
20250521_152523,17,13.36,55.6
20250521_152523,18,14.91,49.6
20250521_152523,19,14.91,51.2
20250521_152523,20,16.34,50.6
20250521_152523,21,17.86,62.0
20250521_152523,22,19.41,62.2
20250521_152523,23,20.93,53.3
20250521_152523,24,22.47,52.3
20250521_152523,25,25.33,45.8
20250521_152523,26,25.33,47.9
20250521_152523,27,26.89,53.5
20250521_152523,28,28.34,62.2
20250521_152523,29,29.43,20.6
20250521_152523,30,29.44,20.0
20250521_152523,31,31.15,40.0
20250521_152523,32,31.16,40.1
20250521_152523,33,32.02,47.7
20250521_152523,34,32.44,62.0
20250521_152523,35,32.45,61.9
20250521_152523,36,33.83,56.0
20250521_152523,37,33.84,57.2
20250521_152523,38,35.15,50.6
20250521_152523,39,35.16,51.3
20250521_152523,40,36.45,61.3
20250521_152523,41,37.82,55.1

Statistic,Value
Total Points,41
Average Speed (km/h),49.3
Maximum Speed (km/h),66.6
Minimum Speed (km/h),20.0
