Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_120833,1,0.00,48.1
1,20250523_120833,2,1.40,50.4
1,20250523_120833,3,4.40,48.1
1,20250523_120833,4,7.36,44.5
1,20250523_120833,5,8.84,49.0
1,20250523_120833,6,10.42,66.2
1,20250523_120833,7,13.44,36.4
1,20250523_120833,8,14.87,30.7
1,20250523_120833,9,16.41,39.2
1,20250523_120833,10,17.93,46.4
1,20250523_120833,11,19.43,31.8
1,20250523_120833,12,20.88,45.3
1,20250523_120833,13,22.41,42.7
1,20250523_120833,14,23.86,45.3
1,20250523_120833,15,25.44,33.8
1,20250523_120833,16,26.93,44.6
1,20250523_120833,17,28.43,30.5
1,20250523_120833,18,29.86,41.8
1,20250523_120833,19,31.19,35.7
1,20250523_120833,20,32.50,37.8
1,20250523_120833,21,33.81,36.6
1,20250523_120833,22,35.19,35.9
1,20250523_120833,23,36.54,35.2
1,20250523_120833,24,37.83,43.3

Statistic,Value
Total Points,24
Average Speed (km/h),41.6
Maximum Speed (km/h),66.2
Minimum Speed (km/h),30.5
