Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
2,20250522_164923,1,0.00,43.4
2,20250522_164923,2,1.62,48.7
2,20250522_164923,3,4.35,62.1
2,20250522_164923,4,7.04,36.2
2,20250522_164923,5,15.18,61.2
2,20250522_164923,6,19.52,39.3
2,20250522_164923,7,21.04,47.5
2,20250522_164923,8,22.74,27.3
2,20250522_164923,9,24.11,51.9
2,20250522_164923,10,25.46,51.0
2,20250522_164923,11,30.76,33.7
2,20250522_164923,12,32.20,42.3
2,20250522_164923,13,33.49,33.0
2,20250522_164923,14,34.92,40.1

Statistic,Value
Total Points,14
Average Speed (km/h),44.1
Maximum Speed (km/h),62.1
Minimum Speed (km/h),27.3
