Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250521_141725,1,0.00,92.5
20250521_141725,2,1.38,77.5
20250521_141725,3,2.70,77.5
20250521_141725,4,5.48,75.1
20250521_141725,5,6.92,78.4
20250521_141725,6,8.36,69.0
20250521_141725,7,9.81,66.1
20250521_141725,8,11.19,72.6
20250521_141725,9,12.75,63.3
20250521_141725,10,14.21,78.2
20250521_141725,11,15.72,68.4
20250521_141725,12,17.24,77.5
20250521_141725,13,18.70,56.6
20250521_141725,14,20.18,66.0
20250521_141725,15,23.15,73.8
20250521_141725,16,24.64,74.8
20250521_141725,17,26.20,73.5
20250521_141725,18,27.68,66.2
20250521_141725,19,29.20,67.2
20250521_141725,20,33.70,74.6
20250521_141725,21,35.14,74.2
20250521_141725,22,36.75,19.5
20250521_141725,23,36.76,20.2
20250521_141725,24,36.77,20.6
20250521_141725,25,36.78,20.8
20250521_141725,26,36.79,20.7
20250521_141725,27,36.80,20.5

Statistic,Value
Total Points,27
Average Speed (km/h),60.9
Maximum Speed (km/h),92.5
Minimum Speed (km/h),19.5
