Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_120153,1,0.00,49.2
1,20250523_120153,2,1.50,43.4
1,20250523_120153,3,2.82,42.8
1,20250523_120153,4,6.87,40.3
1,20250523_120153,5,8.24,39.4
1,20250523_120153,6,13.80,45.7
1,20250523_120153,7,15.33,49.4
1,20250523_120153,8,16.75,32.2
1,20250523_120153,9,23.57,47.9
1,20250523_120153,10,26.29,45.9

Statistic,Value
Total Points,10
Average Speed (km/h),43.6
Maximum Speed (km/h),49.4
Minimum Speed (km/h),32.2
