Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
3,20250523_131834,1,0.00,34.8

Statistic,Value
Total Points,1
Average Speed (km/h),34.8
Maximum Speed (km/h),34.8
Minimum Speed (km/h),34.8
