Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250524_101349,1,0.00,39.7
1,20250524_101349,2,2.77,47.7
1,20250524_101349,3,5.56,32.7
1,20250524_101349,4,6.96,45.3
1,20250524_101349,5,8.43,29.4
1,20250524_101349,6,9.92,41.3
1,20250524_101349,7,11.44,54.8
1,20250524_101349,8,12.95,41.5
1,20250524_101349,9,14.46,41.9
1,20250524_101349,10,15.93,42.8
1,20250524_101349,11,17.40,35.2
1,20250524_101349,12,18.89,34.5
1,20250524_101349,13,20.45,38.9
1,20250524_101349,14,23.42,51.0
1,20250524_101349,15,24.87,42.4
1,20250524_101349,16,26.37,34.9
1,20250524_101349,17,27.98,38.2
1,20250524_101349,18,29.46,37.3
1,20250524_101349,19,30.88,43.1
1,20250524_101349,20,32.39,32.7
1,20250524_101349,21,33.87,38.7
1,20250524_101349,22,35.40,50.3
1,20250524_101349,23,36.88,52.7
1,20250524_101349,24,38.39,53.5

Statistic,Value
Total Points,24
Average Speed (km/h),41.7
Maximum Speed (km/h),54.8
Minimum Speed (km/h),29.4
