Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250614_192250,1,0.00,75.9
1,20250614_192250,2,1.22,82.5
1,20250614_192250,3,2.39,78.1
1,20250614_192250,4,3.56,77.1
1,20250614_192250,5,4.75,76.4
1,20250614_192250,6,6.01,82.2
1,20250614_192250,7,7.24,78.8
1,20250614_192250,8,8.43,86.4
1,20250614_192250,9,9.64,84.5
1,20250614_192250,10,10.92,86.5
1,20250614_192250,11,12.15,96.0
1,20250614_192250,12,13.33,83.1
1,20250614_192250,13,14.53,76.0
1,20250614_192250,14,15.76,84.6
1,20250614_192250,15,16.93,85.3
1,20250614_192250,16,18.13,74.0
1,20250614_192250,17,19.34,81.7
1,20250614_192250,18,20.54,82.9
1,20250614_192250,19,21.71,86.3
1,20250614_192250,20,22.94,80.0
1,20250614_192250,21,24.15,74.0
1,20250614_192250,22,25.37,76.4
1,20250614_192250,23,26.57,78.1
1,20250614_192250,24,27.81,75.5
1,20250614_192250,25,29.03,79.9
1,20250614_192250,26,30.21,74.9
1,20250614_192250,27,31.36,77.9

Statistic,Value
Total Points,27
Average Speed (km/h),80.6
Maximum Speed (km/h),96.0
Minimum Speed (km/h),74.0
