Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250522_143041,1,0.00,26.7
1,20250522_143041,2,1.47,34.2
1,20250522_143041,3,2.95,40.6
1,20250522_143041,4,4.47,47.6
1,20250522_143041,5,6.86,12.0
1,20250522_143041,6,8.41,34.5
1,20250522_143041,7,11.09,46.6
1,20250522_143041,8,12.48,43.6
1,20250522_143041,9,13.90,45.2
1,20250522_143041,10,16.77,35.2
1,20250522_143041,11,19.69,37.6
1,20250522_143041,12,21.10,55.1
1,20250522_143041,13,22.59,47.1
1,20250522_143041,14,24.14,23.9
1,20250522_143041,15,27.08,42.6
1,20250522_143041,16,34.57,35.8
1,20250522_143041,17,36.07,32.5
1,20250522_143041,18,37.34,36.3

Statistic,Value
Total Points,18
Average Speed (km/h),37.6
Maximum Speed (km/h),55.1
Minimum Speed (km/h),12.0
