Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250614_192017,1,0.00,88.1
1,20250614_192017,2,1.18,99.2
1,20250614_192017,3,2.44,98.1
1,20250614_192017,4,3.58,97.5
1,20250614_192017,5,4.76,101.2
1,20250614_192017,6,5.93,106.9
1,20250614_192017,7,7.18,94.2
1,20250614_192017,8,8.35,96.1
1,20250614_192017,9,9.55,109.3
1,20250614_192017,10,10.79,99.8
1,20250614_192017,11,11.95,95.3
1,20250614_192017,12,13.11,104.1
1,20250614_192017,13,14.31,110.4
1,20250614_192017,14,15.56,109.4
1,20250614_192017,15,16.75,85.5
1,20250614_192017,16,17.98,100.2
1,20250614_192017,17,19.19,111.0
1,20250614_192017,18,20.35,115.6
1,20250614_192017,19,21.53,100.6
1,20250614_192017,20,22.72,106.8
1,20250614_192017,21,23.92,107.4
1,20250614_192017,22,25.13,101.3
1,20250614_192017,23,26.32,110.7
1,20250614_192017,24,27.54,93.1
1,20250614_192017,25,28.71,92.5
1,20250614_192017,26,29.90,95.1
1,20250614_192017,27,31.07,105.0

Statistic,Value
Total Points,27
Average Speed (km/h),101.3
Maximum Speed (km/h),115.6
Minimum Speed (km/h),85.5
