Time(s),Speed(km/h)
0.00,6.7
1.24,9.8
2.40,7.5
3.60,11.0
4.81,7.9
5.94,9.0
7.24,9.9
8.45,8.8
9.70,8.7
10.93,7.6
12.11,9.7
13.30,8.4
14.52,7.5
15.74,8.9
16.95,8.5
18.11,9.6
19.28,8.7
20.47,8.4
21.68,9.1
22.89,9.4
25.28,6.9
26.48,8.6
27.76,9.8
28.96,9.0
30.13,8.7
31.27,7.2

Statistics,
Average,8.7
Maximum,11.0
Minimum,6.7
