Session ID,Timestamp File,Transit Number,Relative Start Time (s),Avg Transit Speed (km/h)
1,20250521_225139,1,0.00,44.3
1,20250521_225139,2,1.52,55.6
1,20250521_225139,3,2.97,50.6
1,20250521_225139,4,4.58,49.8
1,20250521_225139,5,6.04,24.3
1,20250521_225139,6,7.69,17.4
1,20250521_225139,7,8.99,53.8
1,20250521_225139,8,10.48,52.9
1,20250521_225139,9,11.95,3.3
1,20250521_225139,10,12.01,55.9
1,20250521_225139,11,12.37,3.2
1,20250521_225139,12,13.46,34.0
1,20250521_225139,13,15.04,53.7
1,20250521_225139,14,16.52,68.2
1,20250521_225139,15,18.07,56.4
1,20250521_225139,16,19.57,50.2
1,20250521_225139,17,20.20,4.0
1,20250521_225139,18,20.99,55.3
1,20250521_225139,19,22.54,61.1
1,20250521_225139,20,23.41,2.7
1,20250521_225139,21,24.04,59.1
1,20250521_225139,22,25.50,47.7
1,20250521_225139,23,27.06,50.2
1,20250521_225139,24,28.55,56.0
1,20250521_225139,25,30.06,48.1
1,20250521_225139,26,31.55,50.0
1,20250521_225139,27,32.98,55.5

Statistic,Value
Total Transits Recorded,27
Overall Average Speed (km/h),43.1
Maximum Avg Transit Speed (km/h),68.2
Minimum Avg Transit Speed (km/h),2.7
