Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250521_141855,1,0.00,61.0
20250521_141855,2,2.18,21.4
20250521_141855,3,2.19,60.9
20250521_141855,4,2.57,60.7
20250521_141855,5,8.04,73.5
20250521_141855,6,10.88,56.7
20250521_141855,7,13.74,59.1
20250521_141855,8,16.67,68.6
20250521_141855,9,25.08,82.2
20250521_141855,10,26.39,100.9
20250521_141855,11,27.76,73.4
20250521_141855,12,29.10,84.1
20250521_141855,13,31.93,66.8
20250521_141855,14,33.27,55.7
20250521_141855,15,34.80,76.5

Statistic,Value
Total Points,15
Average Speed (km/h),66.8
Maximum Speed (km/h),100.9
Minimum Speed (km/h),21.4
