Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250524_155023,1,0.00,46.0
1,20250524_155023,2,1.53,56.2
1,20250524_155023,3,5.98,53.0
1,20250524_155023,4,8.98,57.7
1,20250524_155023,5,10.55,51.2
1,20250524_155023,6,11.99,51.1
1,20250524_155023,7,13.43,53.1
1,20250524_155023,8,14.98,46.1
1,20250524_155023,9,16.50,61.2
1,20250524_155023,10,17.96,50.5
1,20250524_155023,11,19.53,56.5
1,20250524_155023,12,20.91,58.2
1,20250524_155023,13,22.46,46.6
1,20250524_155023,14,24.01,45.2
1,20250524_155023,15,25.50,47.8
1,20250524_155023,16,27.00,53.8
1,20250524_155023,17,28.53,52.8
1,20250524_155023,18,30.06,50.2
1,20250524_155023,19,31.56,51.4
1,20250524_155023,20,32.98,59.9
1,20250524_155023,21,34.59,61.9
1,20250524_155023,22,36.04,44.5
1,20250524_155023,23,37.60,44.8

Statistic,Value
Total Points,23
Average Speed (km/h),52.2
Maximum Speed (km/h),61.9
Minimum Speed (km/h),44.5
